ID_Cliente,Nome_Cliente,id_estado,sigla,estado,regiao,ID_Venda,Data,SKU_Produto,Categoria,Nome_Produto,Quantidade,Preco,valor_venda,Canal
1,Sr. Enzo Gabriel Azevedo,22,RO,Rondônia,Norte,33,2023-05-18,SKU-53822,Brinquedos,Quebra-cabeça,10,122.47,1224.7,Loja Física
1,Sr. Enzo Gabriel Azevedo,22,RO,Rondônia,Norte,844,2023-03-30,SKU-97371,Esporte,Patins,3,237.06,711.1800000000001,Loja Física
2,Srta. Kamilly da Rocha,4,AM,Amazonas,Norte,931,2023-12-28,SKU-50582,Eletrônicos,Laptop,5,4526.6,22633.0,Online
3,Amanda Farias,10,MA,Maranhão,Nordeste,82,2023-11-22,SKU-97371,Esporte,Patins,8,237.06,1896.48,Online
3,Amanda Farias,10,MA,Maranhão,Nordeste,373,2023-01-14,SKU-69331,Casa,Organizador de Gavetas,3,136.47,409.40999999999997,Online
3,Amanda Farias,10,MA,Maranhão,Nordeste,650,2023-01-15,SKU-59806,Casa,Jogo de Lençol,7,498.24,3487.6800000000003,Online
3,Amanda Farias,10,MA,Maranhão,Nordeste,667,2023-06-20,SKU-50055,Esporte,Luva de Boxe,10,98.09,980.9000000000001,Online
4,André Castro,12,MS,Mato Grosso do Sul,Centro-Oeste,247,2023-08-21,SKU-47207,Esporte,Bicicleta Mountain Bike,3,1671.59,5014.7699999999995,Online
4,André Castro,12,MS,Mato Grosso do Sul,Centro-Oeste,510,2023-08-05,SKU-54960,Eletrônicos,Fone de Ouvido Bluetooth,5,128.9,644.5,Online
6,Luiz Otávio Correia,7,DF,Distrito Federal,Centro-Oeste,726,2023-07-04,SKU-59736,Roupas,Blusa de Moletom,4,154.46,617.84,Loja Física
6,Luiz Otávio Correia,7,DF,Distrito Federal,Centro-Oeste,895,2023-08-29,SKU-54960,Eletrônicos,Fone de Ouvido Bluetooth,10,128.9,1289.0,Loja Física
7,Miguel Moraes,8,ES,Espírito Santo,Sudeste,122,2023-04-07,SKU-73390,Casa,Luminária de Mesa,7,35.83,250.81,Online
7,Miguel Moraes,8,ES,Espírito Santo,Sudeste,539,2023-02-05,SKU-74214,Casa,Conjunto de Panelas,1,634.4,634.4,Online
8,Carlos Eduardo Ferreira,14,PA,Pará,Norte,601,2023-08-12,SKU-20895,Casa,Espelho de Parede,4,226.92,907.68,Online
9,Isabella Ferreira,23,RR,Roraima,Norte,169,2023-10-22,SKU-25095,Brinquedos,Jogo de Tabuleiro,6,190.34,1142.04,Online
9,Isabella Ferreira,23,RR,Roraima,Norte,175,2023-04-10,SKU-68873,Casa,Cafeteira Elétrica,10,750.7,7507.0,Online
9,Isabella Ferreira,23,RR,Roraima,Norte,196,2023-03-18,SKU-94109,Brinquedos,Kit de Cozinha Infantil,1,136.43,136.43,Online
9,Isabella Ferreira,23,RR,Roraima,Norte,651,2023-06-09,SKU-72849,Casa,Cortina Blackout,4,234.54,938.16,Online
10,Alexandre Pinto,19,RJ,Rio de Janeiro,Sudeste,433,2023-10-09,SKU-72849,Casa,Cortina Blackout,3,234.54,703.62,Loja Física
11,Guilherme Duarte,7,DF,Distrito Federal,Centro-Oeste,274,2023-11-01,SKU-54960,Eletrônicos,Fone de Ouvido Bluetooth,7,128.9,902.3000000000001,Loja Física
11,Guilherme Duarte,7,DF,Distrito Federal,Centro-Oeste,394,2023-02-26,SKU-37178,Eletrônicos,Carregador Portátil,6,53.67,322.02,Loja Física
12,Ana Laura Melo,13,MG,Minas Gerais,Sudeste,60,2023-02-26,SKU-67575,Esporte,Raquete de Tênis,4,379.94,1519.76,Online
12,Ana Laura Melo,13,MG,Minas Gerais,Sudeste,166,2023-03-05,SKU-59806,Casa,Jogo de Lençol,8,498.24,3985.92,Online
12,Ana Laura Melo,13,MG,Minas Gerais,Sudeste,568,2023-04-28,SKU-69331,Casa,Organizador de Gavetas,9,136.47,1228.23,Online
12,Ana Laura Melo,13,MG,Minas Gerais,Sudeste,709,2023-08-25,SKU-20895,Casa,Espelho de Parede,6,226.92,1361.52,Online
13,Igor Cavalcanti,12,MS,Mato Grosso do Sul,Centro-Oeste,31,2023-12-16,SKU-67575,Esporte,Raquete de Tênis,9,379.94,3419.46,Loja Física
13,Igor Cavalcanti,12,MS,Mato Grosso do Sul,Centro-Oeste,208,2023-02-24,SKU-10889,Eletrônicos,Câmera Digital,3,5602.01,16806.03,Loja Física
13,Igor Cavalcanti,12,MS,Mato Grosso do Sul,Centro-Oeste,938,2023-09-29,SKU-37178,Eletrônicos,Carregador Portátil,2,53.67,107.34,Loja Física
13,Igor Cavalcanti,12,MS,Mato Grosso do Sul,Centro-Oeste,948,2023-02-01,SKU-11521,Brinquedos,Boneca,4,142.37,569.48,Loja Física
14,Giovanna Silveira,18,PI,Piauí,Nordeste,492,2023-04-02,SKU-31191,Esporte,Esteira Elétrica,6,1862.8,11176.8,Loja Física
14,Giovanna Silveira,18,PI,Piauí,Nordeste,549,2023-05-17,SKU-36297,Roupas,Jaqueta de Couro,1,1959.53,1959.53,Loja Física
15,Dra. Sofia Correia,13,MG,Minas Gerais,Sudeste,822,2023-10-06,SKU-28878,Roupas,Calça Jeans,7,123.17,862.19,Online
16,Joaquim Pereira,17,PE,Pernambuco,Nordeste,511,2023-01-29,SKU-25095,Brinquedos,Jogo de Tabuleiro,5,190.34,951.7,Online
16,Joaquim Pereira,17,PE,Pernambuco,Nordeste,663,2023-08-31,SKU-97371,Esporte,Patins,1,237.06,237.06,Online
